Region,fo_name,county,van_precinct_name,precinct_name,van_precinct_id,GEOID,voters,doors,targets
R01,R01G - Lee Heights,ARLINGTON,131 - Precinct 131,Precinct 131,2257750,51013000131,3106,1930,751
R01,R01G - Lee Heights,ARLINGTON,137 - Precinct 137,Precinct 137,2257739,51013000137,2845,1698,617
R01,R01G - Lee Heights,ARLINGTON,107 - Precinct 107,Precinct 107,2257700,51013000107,3330,2366,804
R01,R01G - Lee Heights,ARLINGTON,124 - Precinct 124,Precinct 124,2257694,51013000124,4364,3270,1128
R01,R01G - Lee Heights,ARLINGTON,111 - Precinct 111,Precinct 111,2257752,51013000111,2303,1465,524
R01,R01G - Lee Heights,ARLINGTON,134 - Precinct 134,Precinct 134,2257697,51013000134,2821,1748,649
R01,R01G - Lee Heights,ARLINGTON,117 - Precinct 117,Precinct 117,2257689,51013000117,3470,2359,801
R01,R01G - Lee Heights,ARLINGTON,136 - Precinct 136,Precinct 136,2257720,51013000136,3563,2496,832
R01,R01H - Shirlington,ALEXANDRIA CITY,305 - John Adams School,John Adams School,297113,51510000305,3434,3042,848
R01,R01H - Shirlington,ALEXANDRIA CITY,212 - The View Alexandria,The View Alexandria,2334682,51510000212,2024,1691,458
R01,R01H - Shirlington,ALEXANDRIA CITY,210 - F.T. Day School,F.T. Day School,2228451,51510000210,2717,2449,775
R01,R01H - Shirlington,ARLINGTON,128 - Precinct 128,Precinct 128,2257721,51013000128,4209,3403,1188
R01,R01H - Shirlington,ALEXANDRIA CITY,310 - Del Pepper Center,Del Pepper Center,2334683,51510000310,3163,2970,746
R01,R01H - Shirlington,ARLINGTON,112 - Precinct 112,Precinct 112,2257693,51013000112,2779,2331,729
R01,R01H - Shirlington,ARLINGTON,122 - Precinct 122,Precinct 122,2257712,51013000122,3124,2729,867
R01,R01H - Shirlington,ALEXANDRIA CITY,206 - Alexandria City High School,Alexandria City High School,297106,51510000206,3595,2763,854
R01,R01H - Shirlington,ARLINGTON,142 - Precinct 142,Precinct 142,2257745,51013000142,2988,2744,871
R01,R01H - Shirlington,ALEXANDRIA CITY,208 - Nova Arts Center,Nova Arts Center,297108,51510000208,3417,3192,1081
R01,R01I - Westend Alexandria,ALEXANDRIA CITY,307 - Tucker West,Tucker West,297115,51510000307,3774,3247,1033
R01,R01I - Westend Alexandria,ALEXANDRIA CITY,304 - Tucker School,Tucker School,297112,51510000304,4298,3941,1250
R01,R01I - Westend Alexandria,ALEXANDRIA CITY,303 - Charles E Beatley Library,Charles E Beatley Library,297111,51510000303,3524,3205,1028
R01,R01I - Westend Alexandria,ALEXANDRIA CITY,309 - Olympus Condo,Olympus Condo,1992184,51510000309,2812,2516,754
R01,R01I - Westend Alexandria,ALEXANDRIA CITY,207 - Temple Beth El Synagogue,Temple Beth El Synagogue,297107,51510000207,4239,3062,972
R01,R01I - Westend Alexandria,ALEXANDRIA CITY,306 - William Ramsay School,William Ramsay School,297114,51510000306,3020,2539,893
R01,R01I - Westend Alexandria,ALEXANDRIA CITY,308 - Cameron Station Community Ctr,Cameron Station Community Ctr,331417,51510000308,3993,3242,989
R01,R01I - Westend Alexandria,ALEXANDRIA CITY,209 - James K Polk School,James K Polk School,297109,51510000209,4436,3486,1081
R01,R01I - Westend Alexandria,ALEXANDRIA CITY,302 - Patrick Henry Rec Center,Patrick Henry Rec Center,297110,51510000302,3704,3363,1018
R02,R02A - Annandale,FAIRFAX,513 - Saint Albans,Saint Albans,295900,51059000513,2790,1861,656
R02,R02A - Annandale,FAIRFAX,509 - Plaza,Plaza,1815727,51059000509,1243,1099,361
R02,R02A - Annandale,FAIRFAX,106 - Heritage,Heritage,295794,51059000106,4361,3547,1201
R02,R02A - Annandale,FAIRFAX,520 - Skyline,Skyline,295906,51059000520,3219,2878,932
R02,R02A - Annandale,FAIRFAX,501 - Baileys,Baileys,295889,51059000501,4120,3260,1180
R02,R02A - Annandale,FAIRFAX,512 - Sleepy Hollow,Sleepy Hollow,295899,51059000512,3432,2291,753
R02,R02A - Annandale,FAIRFAX,516 - Weyanoke,Weyanoke,295902,51059000516,3737,2896,1007
R02,R02A - Annandale,FAIRFAX,502 - Barcroft,Barcroft,295890,51059000502,1503,985,260
R02,R02A - Annandale,FAIRFAX,510 - Parklawn,Parklawn,295897,51059000510,2500,1682,620
R02,R02A - Annandale,FAIRFAX,517 - Willston,Willston,295903,51059000517,2136,1860,596
R02,R02A - Annandale,FAIRFAX,102 - Bristow,Bristow,295791,51059000504,3102,2392,933
R02,R02A - Annandale,FAIRFAX,506 - Holmes,Holmes,295893,51059000506,878,681,216
R02,R02A - Annandale,FAIRFAX,530 - Tripps,Tripps,2228445,51059000530,2036,1577,579
R02,R02A - Annandale,FAIRFAX,511 - Ravenwood,Ravenwood,295898,51059000511,1878,1262,400
R02,R02A - Annandale,FAIRFAX,514 - Crossroads,Crossroads,1845263,51059000514,1351,1193,277
R02,R02A - Annandale,FAIRFAX,104 - Chapel,Chapel,295792,51059000104,2575,1511,476
R02,R02A - Annandale,FAIRFAX,507 - Lincolnia,Lincolnia,295895,51059000507,3943,3103,1024
R02,R02A - Annandale,FAIRFAX,508 - Masonville,Masonville,295896,51059000508,2322,1577,511
R02,R02A - Annandale,FAIRFAX,525 - Walnut Hill,Walnut Hill,295911,51059000525,4253,3219,1075
R02,R02A - Annandale,FAIRFAX,503 - Belvedere,Belvedere,295891,51059000503,1835,1250,394
R02,R02A - Annandale,FAIRFAX,521 - Brook Hill,Brook Hill,295907,51059000521,2573,1863,617
R02,R02A - Annandale,FAIRFAX,526 - Bren Mar,Bren Mar,295912,51059000526,4370,3518,1319
R02,R02A - Annandale,FAIRFAX,717 - Woodburn,Woodburn,295957,51059000536,3655,2524,862
R02,R02A - Annandale,FAIRFAX,522 - Camelot,Camelot,295908,51059000522,2204,1337,417
R02,R02A - Annandale,FAIRFAX,515 - Westlawn,Westlawn,295901,51059000515,1993,1419,558
R02,R02A - Annandale,FAIRFAX,505 - Glen Forest,Glen Forest,295892,51059000505,3467,2764,1001
R02,R02A - Annandale,FAIRFAX,518 - Columbia,Columbia,295904,51059000518,3164,2351,763
R02,R02A - Annandale,FAIRFAX,523 - Poe,Poe,295909,51059000523,3118,2167,811
R02,R02B - Centreville,FAIRFAX,925 - Old Mill,Old Mill,296014,51059000925,2090,1279,480
R02,R02B - Centreville,FAIRFAX,901 - Centre Ridge,Centre Ridge,295995,51059000901,3989,2809,1043
R02,R02B - Centreville,FAIRFAX,915 - Virginia Run,Virginia Run,296005,51059000915,3047,1554,492
R02,R02B - Centreville,FAIRFAX,859 - Liberty,Liberty,2228484,51059000859,2307,1218,325
R02,R02B - Centreville,FAIRFAX,854 - Newgate South,Newgate South,1071011,51059000854,3087,1692,524
R02,R02B - Centreville,FAIRFAX,858 - Clifton Town,Clifton Town,2228455,51059000858,208,110,29
R02,R02B - Centreville,FAIRFAX,923 - Bull Run,Bull Run,296012,51059000923,2903,1573,517
R02,R02B - Centreville,FAIRFAX,919 - Green Trails,Green Trails,296009,51059000919,4979,3322,1270
R02,R02B - Centreville,FAIRFAX,862 - Willow Springs #2,Willow Springs #2,2228514,51059000862,1801,997,368
R02,R02B - Centreville,FAIRFAX,918 - Centreville,Centreville,296008,51059000918,5452,4051,1388
R02,R02B - Centreville,FAIRFAX,849 - Newgate North,Newgate North,295991,51059000849,2977,1561,545
R02,R02B - Centreville,FAIRFAX,910 - London Towne,London Towne,296001,51059000910,4513,3289,1285
R02,R02B - Centreville,FAIRFAX,926 - Powell,Powell,296015,51059000926,5152,3419,1568
R02,R02B - Centreville,FAIRFAX,913 - Rocky Run,Rocky Run,296003,51059000913,5317,3060,1322
R02,R02B - Centreville,FAIRFAX,904 - Stonecroft,Stonecroft,295998,51059000904,2194,1497,436
R02,R02B - Centreville,FAIRFAX,928 - Poplar Tree,Poplar Tree,296017,51059000928,3077,1633,692
R02,R02B - Centreville,FAIRFAX,924 - Spindle,Spindle,296013,51059000924,2648,2273,733
R02,R02B - Centreville,FAIRFAX,917 - Stone,Stone,296007,51059000917,4305,2986,1080
R02,R02B - Centreville,FAIRFAX,935 - Robinson Mill,Robinson Mill,2228481,51059000935,991,777,267
R02,R02B - Centreville,FAIRFAX,903 - Cub Run,Cub Run,295997,51059000903,5209,3496,1146
R02,R02B - Centreville,FAIRFAX,921 - Deer Park,Deer Park,296011,51059000921,3598,2176,759
R02,R02B - Centreville,FAIRFAX,902 - Brookfield,Brookfield,295996,51059000902,4775,3327,1264
R02,R02C - East Fairfax,FAIRFAX,528 - Ridgelea,Ridgelea,295914,51059000528,635,346,122
R02,R02C - East Fairfax,FAIRFAX,125 - Signal Hill,Signal Hill,295810,51059000125,3389,1871,667
R02,R02C - East Fairfax,FAIRFAX,109 - Little Run,Little Run,295796,51059000109,1729,1007,339
R02,R02C - East Fairfax,FAIRFAX,721 - Merrifield,Merrifield,295961,51059000721,4726,4189,1414
R02,R02C - East Fairfax,FAIRFAX,116 - Wakefield,Wakefield,295801,51059000116,2459,1459,426
R02,R02C - East Fairfax,FAIRFAX,137 - Sideburn #2,Sideburn #2,2228503,51059000137,2160,1190,379
R02,R02C - East Fairfax,FAIRFAX CITY,002 - Two,Two,297218,51600000002,3232,2221,680
R02,R02C - East Fairfax,FAIRFAX,118 - Lake Braddock,Lake Braddock,295803,51059000118,4538,3017,1103
R02,R02C - East Fairfax,FAIRFAX,113 - Canterbury,Canterbury,295799,51059000113,3991,2319,770
R02,R02C - East Fairfax,FAIRFAX,723 - Gallows East,Gallows East,1936187,51059000723,2793,2433,861
R02,R02C - East Fairfax,FAIRFAX CITY,004 - Four,Four,297220,51600000004,2837,1919,560
R02,R02C - East Fairfax,FAIRFAX,714 - Walker,Walker,295956,51059000714,4079,2900,1070
R02,R02C - East Fairfax,FAIRFAX,736 - Bedford,Bedford,2228463,51059000736,768,697,182
R02,R02C - East Fairfax,FAIRFAX,126 - Bonnie Brae,Bonnie Brae,295811,51059000126,2627,1716,578
R02,R02C - East Fairfax,FAIRFAX,709 - Mosby #1,Mosby #1,295951,51059000709,2854,2199,733
R02,R02C - East Fairfax,FAIRFAX,737 - Mosby #2,Mosby #2,2228453,51059000737,1165,949,272
R02,R02C - East Fairfax,FAIRFAX,711 - Price,Price,295953,51059000711,2360,1553,520
R02,R02C - East Fairfax,FAIRFAX,119 - Laurel,Laurel,295804,51059000119,4354,2689,897
R02,R02C - East Fairfax,FAIRFAX CITY,003 - Three,Three,297219,51600000003,3955,2732,854
R02,R02C - East Fairfax,FAIRFAX,115 - Ravensworth,Ravensworth,295800,51059000115,1898,1233,376
R02,R02C - East Fairfax,FAIRFAX,114 - Olde Creek,Olde Creek,1845262,51059000114,2415,1403,489
R02,R02C - East Fairfax,FAIRFAX,117 - Woodson #1,Woodson #1,295802,51059000117,2090,1315,459
R02,R02C - East Fairfax,FAIRFAX,120 - Sideburn #1,Sideburn #1,295805,51059000120,1131,671,166
R02,R02C - East Fairfax,FAIRFAX,108 - Kings Park,Kings Park,295795,51059000108,3345,2148,708
R02,R02C - East Fairfax,FAIRFAX,718 - Pine Ridge,Pine Ridge,295958,51059000718,2751,1963,674
R02,R02C - East Fairfax,FAIRFAX,134 - University,University,1569564,51059000134,2096,1945,271
R02,R02C - East Fairfax,FAIRFAX,123 - Robinson,Robinson,295808,51059000123,5127,3217,1130
R02,R02C - East Fairfax,FAIRFAX,136 - Woodson #2,Woodson #2,2228496,51059000136,1115,668,255
R02,R02C - East Fairfax,FAIRFAX CITY,005 - Five,Five,297221,51600000005,2929,2131,651
R02,R02C - East Fairfax,FAIRFAX,707 - Mantua,Mantua,295949,51059000707,2607,1616,543
R02,R02C - East Fairfax,FAIRFAX,734 - Hunters Branch,Hunters Branch,1569570,51059000734,3126,2502,881
R02,R02D - Fair Oaks,FAIRFAX,223 - Glade,Glade,295828,51059000223,4067,2993,934
R02,R02D - Fair Oaks,FAIRFAX,908 - Hidden Meadow,Hidden Meadow,296000,51059000908,2476,1277,500
R02,R02D - Fair Oaks,FAIRFAX,851 - Willow Springs #1,Willow Springs #1,295993,51059000851,1341,791,294
R02,R02D - Fair Oaks,FAIRFAX,805 - Fairfax Station,Fairfax Station,295972,51059000805,1661,865,213
R02,R02D - Fair Oaks,FAIRFAX,803 - Clifton South,Clifton South,295971,51059000803,2707,1509,352
R02,R02D - Fair Oaks,FAIRFAX,730 - Penderbrook,Penderbrook,295966,51059000856,4297,3300,1282
R02,R02D - Fair Oaks,FAIRFAX CITY,006 - Six,Six,297222,51600000006,2828,2064,664
R02,R02D - Fair Oaks,FAIRFAX,224 - South Lakes,South Lakes,295829,51059000224,5086,3982,1122
R02,R02D - Fair Oaks,FAIRFAX,914 - Vale,Vale,296004,51059000914,2860,1526,480
R02,R02D - Fair Oaks,FAIRFAX,229 - Fox Mill #1,Fox Mill #1,295833,51059000229,4256,2354,807
R02,R02D - Fair Oaks,FAIRFAX,857 - Island Pond,Island Pond,2228509,51059000857,209,120,79
R02,R02D - Fair Oaks,FAIRFAX,843 - Fair Lakes,Fair Lakes,295985,51059000843,3761,2795,979
R02,R02D - Fair Oaks,FAIRFAX,847 - Greenbriar West,Greenbriar West,295989,51059000847,2659,1859,560
R02,R02D - Fair Oaks,FAIRFAX,121 - Villa,Villa,295806,51059000121,2552,1665,596
R02,R02D - Fair Oaks,FAIRFAX,138 - Eagle View #2,Eagle View #2,2228493,51059000138,2168,1289,460
R02,R02D - Fair Oaks,FAIRFAX,920 - Chantilly,Chantilly,296010,51059000920,2464,1402,684
R02,R02D - Fair Oaks,FAIRFAX CITY,001 - One,One,297217,51600000001,2698,1918,629
R02,R02D - Fair Oaks,FAIRFAX,220 - Dogwood,Dogwood,295825,51059000220,4933,3526,1215
R02,R02D - Fair Oaks,FAIRFAX,911 - Navy,Navy,296002,51059000911,4398,2698,1097
R02,R02D - Fair Oaks,FAIRFAX,221 - Hunters Woods,Hunters Woods,295826,51059000221,2892,1704,483
R02,R02D - Fair Oaks,FAIRFAX,804 - Colchester,Colchester,1569572,51059000804,1999,1030,367
R02,R02D - Fair Oaks,FAIRFAX,802 - Cedar Lake,Cedar Lake,1569571,51059000802,1908,1626,586
R02,R02D - Fair Oaks,FAIRFAX,846 - Greenbriar East,Greenbriar East,295988,51059000846,4086,3047,1026
R02,R02D - Fair Oaks,FAIRFAX,916 - Waples Mill,Waples Mill,296006,51059000916,4628,2540,873
R02,R02D - Fair Oaks,FAIRFAX,225 - Hughes,Hughes,295830,51059000225,4534,3646,1119
R02,R02D - Fair Oaks,FAIRFAX,848 - Fair Oaks,Fair Oaks,295990,51059000848,4709,3208,1400
R02,R02D - Fair Oaks,FAIRFAX,853 - Eagle View,Eagle View,892245,51059000131,2194,1785,595
R02,R02D - Fair Oaks,FAIRFAX,852 - Monument,Monument,295994,51059000132,5713,4674,1616
R02,R02D - Fair Oaks,FAIRFAX,844 - Centerpointe,Centerpointe,295986,51059000844,3812,3236,1023
R02,R02D - Fair Oaks,FAIRFAX,244 - Fox Mill #2,Fox Mill #2,2228449,51059000244,579,342,81
R02,R02D - Fair Oaks,FAIRFAX,841 - Popes Head,Popes Head,295983,51059000841,1738,916,230
R02,R02E - Falls Church,FALLS CHURCH CITY,002 - Second Ward,Second Ward,297224,51610000002,3789,2823,1011
R02,R02E - Falls Church,FAIRFAX,712 - Shreve,Shreve,295954,51059000712,2735,1693,567
R02,R02E - Falls Church,FALLS CHURCH CITY,003 - Third Ward,Third Ward,297225,51610000003,4142,3026,1039
R02,R02E - Falls Church,FALLS CHURCH CITY,001 - First Ward,First Ward,297223,51610000001,3770,2543,886
R02,R02E - Falls Church,FAIRFAX,703 - Fort Buffalo,Fort Buffalo,295945,51059000535,2362,1853,735
R02,R02F - Herndon,FAIRFAX,320 - Herndon #2,Herndon #2,295856,51059000320,4745,3355,1236
R02,R02F - Herndon,FAIRFAX,203 - Floris,Floris,295817,51059000203,4056,2212,901
R02,R02F - Herndon,FAIRFAX,927 - Armfield,Armfield,296016,51059000927,3439,2325,972
R02,R02F - Herndon,FAIRFAX,239 - Coates,Coates,1071009,51059000332,7112,6205,2092
R02,R02F - Herndon,FAIRFAX,325 - Hutchison,Hutchison,295861,51059000325,2749,2193,776
R02,R02F - Herndon,FAIRFAX,909 - Oak Hill,Oak Hill,1569574,51059000909,2242,1206,507
R02,R02F - Herndon,FAIRFAX,319 - Herndon #1,Herndon #1,295855,51059000319,4476,3008,978
R02,R02F - Herndon,FAIRFAX,236 - Stuart,Stuart,295837,51059000236,1499,945,298
R02,R02F - Herndon,FAIRFAX,235 - Frying Pan,Frying Pan,295836,51059000235,3514,2351,1027
R02,R02F - Herndon,FAIRFAX,237 - McNair,McNair,295838,51059000237,4949,4113,1531
R02,R02F - Herndon,FAIRFAX,934 - Fox Valley,Fox Valley,2228471,51059000934,1537,1023,421
R02,R02F - Herndon,FAIRFAX,324 - Herndon #3,Herndon #3,295860,51059000324,4430,3441,1134
R02,R02F - Herndon,FAIRFAX,905 - Franklin,Franklin,295999,51059000905,2939,1645,623
R02,R02F - Herndon,FAIRFAX,931 - Carson,Carson,1569577,51059000931,2591,1775,648
R02,R02G - McLean,FAIRFAX,317 - Westhampton,Westhampton,295853,51059000317,1060,726,236
R02,R02G - McLean,FAIRFAX,312 - Longfellow,Longfellow,295849,51059000312,2870,1810,712
R02,R02G - McLean,FAIRFAX,314 - McLean,McLean,295850,51059000314,2981,1960,627
R02,R02G - McLean,FAIRFAX,310 - Kirby,Kirby,295847,51059000310,2393,1476,567
R02,R02G - McLean,FAIRFAX,316 - Salona,Salona,295852,51059000316,3077,1778,596
R02,R02G - McLean,FAIRFAX,315 - Pimmit,Pimmit,295851,51059000315,3757,2702,993
R02,R02G - McLean,FAIRFAX,726 - Magarity,Magarity,295962,51059000726,5517,4708,1559
R02,R02G - McLean,FAIRFAX,302 - Chesterbrook,Chesterbrook,295840,51059000302,2838,1698,510
R02,R02G - McLean,FAIRFAX,303 - Churchill,Churchill,295841,51059000303,1791,1007,321
R02,R02G - McLean,FAIRFAX,710 - Pine Spring,Pine Spring,295952,51059000710,2569,2069,680
R02,R02G - McLean,FAIRFAX,301 - Chain Bridge,Chain Bridge,295839,51059000301,4023,2617,779
R02,R02G - McLean,FAIRFAX,705 - Graham-Greenway,Graham-Greenway,295947,51059000705,3855,2806,982
R02,R02G - McLean,FAIRFAX,713 - Timber Lane,Timber Lane,295955,51059000713,3648,2700,1013
R02,R02G - McLean,FAIRFAX,305 - El Nido,El Nido,295843,51059000305,2639,1508,546
R02,R02G - McLean,FAIRFAX,307 - Haycock,Haycock,295845,51059000307,4249,2572,923
R02,R02G - McLean,FAIRFAX,318 - Westmoreland,Westmoreland,295854,51059000318,1697,1083,359
R02,R02G - McLean,FAIRFAX,708 - Marshall,Marshall,295950,51059000708,4520,3679,1227
R02,R02G - McLean,FAIRFAX,311 - Langley,Langley,295848,51059000311,2323,1260,389
R02,R02H - Reston,FAIRFAX,222 - Reston #3,Reston #3,295827,51059000222,2381,1898,583
R02,R02H - Reston,FAIRFAX,306 - Great Falls,Great Falls,295844,51059000306,2320,1275,349
R02,R02H - Reston,FAIRFAX,234 - Aldrin,Aldrin,295835,51059000234,3124,2347,650
R02,R02H - Reston,FAIRFAX,327 - Sugarland,Sugarland,295862,51059000327,3847,2152,720
R02,R02H - Reston,FAIRFAX,201 - Armstrong,Armstrong,1866909,51059000201,4157,3119,999
R02,R02H - Reston,FAIRFAX,208 - Reston #1,Reston #1,295818,51059000208,5199,4445,1435
R02,R02H - Reston,FAIRFAX,331 - Spring Hill,Spring Hill,892244,51059000331,2442,1368,452
R02,R02H - Reston,FAIRFAX,233 - North Point,North Point,295834,51059000233,2623,1592,484
R02,R02H - Reston,FAIRFAX,309 - Kenmore,Kenmore,295846,51059000309,4427,2486,955
R02,R02H - Reston,FAIRFAX,245 - Piney Run,Piney Run,2228515,51059000245,1127,578,279
R02,R02H - Reston,FAIRFAX,321 - Clearview,Clearview,295857,51059000321,4290,2535,768
R02,R02H - Reston,FAIRFAX,329 - Seneca,Seneca,295864,51059000329,3805,2138,706
R02,R02H - Reston,FAIRFAX,240 - Colvin,Colvin,1569566,51059000240,2692,1466,552
R02,R02H - Reston,FAIRFAX,304 - Cooper,Cooper,295842,51059000304,2547,1401,509
R02,R02H - Reston,FAIRFAX,209 - Reston #2,Reston #2,295819,51059000209,4563,3500,1082
R02,R02H - Reston,FAIRFAX,323 - Shouse,Shouse,295859,51059000323,2399,1426,457
R02,R02H - Reston,FAIRFAX,322 - Forestville,Forestville,295858,51059000322,3567,1944,634
R02,R02H - Reston,FAIRFAX,238 - Cameron Glen,Cameron Glen,892243,51059000238,5203,4420,1301
R02,R02H - Reston,FAIRFAX,328 - Hickory,Hickory,295863,51059000328,3685,2079,673
R02,R02I - Vienna,FAIRFAX,738 - Jones Branch,Jones Branch,2302154,51059000738,2734,2506,779
